HNum,Rh,Rm,RAs,Dd,Dm,Ds,Vmag,plx,plxe,BV,BVe,CNum,HD,BD
60959,12,29,46.3,-49,51,47.2,10.28,15.06,2.8,0.99,0.005,12298-4952,,
60968,12,29,53.1,59,28,21.5,10.46,7.72,1.46,0.718,0.056,,,B+60 1402
60973,12,29,55.4,-26,25,13.1,8.9,18.02,1.35,0.772,0.028,,108768,
60976,12,29,55.5,24,20,19,7.86,14.39,1.12,0.452,0.015,,108807,B+25 2513
60981,12,29,58.4,-12,3,55.5,9.15,12.17,1.53,0.759,0.026,12299-1203,108777,B-11 3311
60986,12,30,1.5,62,50,51.5,9.29,9.82,0.92,0.533,0.025,,108871,B+63 1017
60995,12,30,5,-6,59,33.1,8.79,10.7,1.13,0.52,0.02,,108797,B- 6 3583
61004,12,30,11.2,5,52,37.3,8.15,8.49,0.93,0.538,0.015,,108816,B+ 6 2620
61005,12,30,11.4,-17,56,28.7,9.19,7.25,1.21,0.467,0.023,,108800,B-17 3636
61010,12,30,12.6,39,14,50.5,7.66,15.31,0.84,0.458,0.019,,108846,B+40 2542
61016,12,30,17.6,30,59,39,9.08,31.4,1.41,1.015,0.007,,108847,B+31 2373
61043,12,30,38.7,20,22,10.8,11,22.52,1.98,1.57,0.082,,,
61044,12,30,42.1,50,58,30,7.91,21.02,0.79,0.697,0.008,,108942,B+51 1762
61048,12,30,45.9,-51,6,41.1,9.08,9.07,1.36,0.592,0.016,,108867,
61049,12,30,46.3,-58,11,16.7,8.59,9.99,1.13,0.518,0.013,,108857,
61052,12,30,49.3,-34,32,11.8,8.98,13.9,1.35,0.597,0.022,,108885,
61053,12,30,50.1,53,4,34.2,6.2,45.58,0.62,0.568,0.004,,108954,B+53 1554
61061,12,30,54.3,0,39,53.1,8.49,17.91,1.27,0.667,0.019,,108916,B+ 1 2706
61067,12,30,57.3,-61,29,35,8.78,13.27,1,0.601,0.016,,108858,
61085,12,31,11.8,38,46,58,9.13,10.27,1.32,0.44,0.022,,108974,B+39 2530
61087,12,31,12.6,-61,54,31.4,8,10.84,0.82,0.504,0.01,,108904,
61088,12,31,12.8,3,33,45,8.13,11.28,1.16,0.594,0.018,,108958,B+ 4 2624
61090,12,31,14.5,10,19,40.4,9.7,9.65,1.36,0.63,0.015,,,B+11 2469
